gpu,harness,model,problem,correct,score,tok_s,elapsed_s,output_tokens,ctx2048,ctx8192,ctx16384,framework,kernels,megakernel,megakernel_judged,has_viewer,run_id
H100,or-fable,anthropic/claude-fable-5,02_kimi_linear_decode,true,19.118,1554,14990,,18.64,18.86,19.88,triton,12,pass,true,true,20260721_071218_or-fable_anthropic_claude-fable-5_02_kimi_linear_decode
H100,claude,claude-opus-4-8,02_kimi_linear_decode,true,15.504,1278,8417,376009,14.97,15.28,16.29,triton,8,fail,false,true,20260618_075926_claude_claude-opus-4-8_02_kimi_linear_decode
H100,kinetic-claude,kinetic-0715,02_kimi_linear_decode,true,14.818,1232,38382,720242,14.01,14.76,15.73,ptx,4,fail,false,true,20260716_091712_kinetic-claude_kinetic-0715_02_kimi_linear_decode
H100,codex,gpt-5.5,02_kimi_linear_decode,true,5.622,459,2064,46408,5.47,5.33,6.09,triton,11,fail,false,true,20260618_040852_codex_gpt-5.5_02_kimi_linear_decode
H100,codex,gpt-5.6-sol,02_kimi_linear_decode,true,4.529,408,4308,63928,4.83,4.52,4.26,cuda,2,pass,true,true,20260721_125927_codex_gpt-5.6-sol_02_kimi_linear_decode
H100,zai-claude,glm-5.2,02_kimi_linear_decode,true,4.521,450,17542,411926,5.30,4.52,3.86,cuda,3,pass,true,true,20260721_125907_zai-claude_glm-5.2_02_kimi_linear_decode
H100,kinetic-claude,kinetic-0715[1m],02_kimi_linear_decode,true,4.006,358,21600,0,4.13,3.97,3.92,cuda,3,pass,true,true,20260716_150057_kinetic-claude_kinetic-0715_1m__02_kimi_linear_decode
H100,gemini,gemini-3.5-flash,02_kimi_linear_decode,true,2.737,225,1331,21138,2.59,2.80,2.83,triton,1,pass,false,true,20260619_002627_gemini_gemini-3.5-flash_02_kimi_linear_decode
H100,grok,grok-4.5,02_kimi_linear_decode,true,2.498,254,7911,,3.03,2.50,2.06,triton,13,pass,true,true,20260721_130209_grok_grok-4.5_02_kimi_linear_decode
H100,cursor,composer-2.5-fast,02_kimi_linear_decode,true,1.755,191,2588,30834,1.71,1.81,1.74,triton,4,fail,false,true,20260619_062205_cursor_composer-2.5-fast_02_kimi_linear_decode
H100,deepseek-claude,deepseek-v4-pro,02_kimi_linear_decode,true,1.381,178,3279,90741,1.59,1.40,1.19,triton,3,fail,false,true,20260619_062145_deepseek-claude_deepseek-v4-pro_02_kimi_linear_decode
H100,minimax-claude,MiniMax-M3,02_kimi_linear_decode,false,,,10800,0,,,,triton,2,fail,false,true,20260618_211450_minimax-claude_MiniMax-M3_02_kimi_linear_decode
H100,kimi-claude,kimi-k2.7-code,02_kimi_linear_decode,false,,,10800,,,,,triton,3,fail,false,true,20260618_211510_kimi-claude_kimi-k2.7-code_02_kimi_linear_decode
RTX PRO 6000 Blackwell,or-fable,anthropic/claude-fable-5,02_kimi_linear_decode,true,24.609,3236,10275,,24.94,24.28,24.61,ptx,3,pass,true,true,20260719_121747_or-fable_anthropic_claude-fable-5_02_kimi_linear_decode
RTX PRO 6000 Blackwell,claude,claude-fable-5,02_kimi_linear_decode,true,18.715,3226,9208,548275,17.78,18.87,19.54,cuda,4,pass,true,true,20260701_172615_claude_claude-fable-5_02_kimi_linear_decode
RTX PRO 6000 Blackwell,kinetic-claude,kinetic-0715,02_kimi_linear_decode,true,18.088,2251,12004,0,17.13,18.11,19.09,eager,0,pass,true,true,20260716_024329_kinetic-claude_kinetic-0715_02_kimi_linear_decode
RTX PRO 6000 Blackwell,claude,claude-opus-4-8,02_kimi_linear_decode,true,14.399,2427,6558,381815,13.27,13.98,16.09,triton,7,fail,false,true,20260618_024321_claude_claude-opus-4-8_02_kimi_linear_decode
RTX PRO 6000 Blackwell,zai-claude,glm-5.2,02_kimi_linear_decode,true,11.142,1951,4933,149361,10.75,10.94,11.76,triton,8,fail,false,true,20260619_084649_zai-claude_glm-5.2_02_kimi_linear_decode
RTX PRO 6000 Blackwell,kinetic-claude,kinetic-0715[1m],02_kimi_linear_decode,true,9.785,1338,35985,618152,10.19,9.74,9.44,triton,9,pass,true,true,20260716_233348_kinetic-claude_kinetic-0715_1m__02_kimi_linear_decode
RTX PRO 6000 Blackwell,codex,gpt-5.5,02_kimi_linear_decode,true,4.338,722,1492,88773,4.00,4.29,4.76,triton,11,fail,false,true,20260618_021522_codex_gpt-5.5_02_kimi_linear_decode
RTX PRO 6000 Blackwell,claude,claude-sonnet-5,02_kimi_linear_decode,true,4.030,653,3814,279228,3.56,4.06,4.54,triton,9,fail,false,true,20260630_202644_claude_claude-sonnet-5_02_kimi_linear_decode
RTX PRO 6000 Blackwell,codex,gpt-5.6-sol,02_kimi_linear_decode,true,2.637,467,1364,48527,2.55,2.64,2.72,cuda,3,pass,true,true,20260709_160953_codex_gpt-5.6-sol_02_kimi_linear_decode
RTX PRO 6000 Blackwell,minimax-claude,MiniMax-M3,02_kimi_linear_decode,true,2.625,438,5062,176589,2.40,2.52,2.98,triton,3,fail,false,true,20260619_084709_minimax-claude_MiniMax-M3_02_kimi_linear_decode
RTX PRO 6000 Blackwell,kimi-claude,kimi-k2.7-code,02_kimi_linear_decode,true,2.586,412,10800,,3.43,2.53,1.99,triton,2,fail,false,true,20260618_150545_kimi-claude_kimi-k2.7-code_02_kimi_linear_decode
RTX PRO 6000 Blackwell,cursor,composer-2.5-fast,02_kimi_linear_decode,true,2.482,476,637,47605,2.64,2.47,2.35,triton,6,fail,false,true,20260619_084729_cursor_composer-2.5-fast_02_kimi_linear_decode
RTX PRO 6000 Blackwell,gemini,gemini-3.5-flash,02_kimi_linear_decode,true,2.280,467,1867,33081,2.59,2.28,2.01,triton,2,fail,false,true,20260618_151017_gemini_gemini-3.5-flash_02_kimi_linear_decode
RTX PRO 6000 Blackwell,deepseek-claude,deepseek-v4-pro,02_kimi_linear_decode,true,2.106,439,2556,79502,2.42,2.16,1.79,triton,4,fail,false,true,20260618_150605_deepseek-claude_deepseek-v4-pro_02_kimi_linear_decode
RTX PRO 6000 Blackwell,grok,grok-4.5,02_kimi_linear_decode,true,0.816,164,2920,,0.90,0.82,0.73,cuda,3,pass,true,true,20260709_221419_grok_grok-4.5_02_kimi_linear_decode
